925,77280,0,0,0,0
2669,298600,13789,656,13789,656
4942,296555376,89920582,10284164,89920582,10284164
267372,19587997044,40761551536,5647781980,40761551536,5647781980
513903,1229671622,120987887254,2899083206,119763579217,2899104768
7953,3002318136,610885022,57933683,349536943,31456545
7821,3868204456,1257849698,123385823,610885022,57933683
11198,5995643968,3144331664,313273787,1257849698,123385823
32939,16555077520,23011020821,1421041778,8848805382,313273787
224018,32396240128,26177458062,3612134270,26177458062,3612134270
