64851,627056983488,0,0,0,0
357429,624254274520,114,2,114,2
381494,629669121320,437,10,437,10
389372,622667104442,1168,22,1168,22
357501,626172977442,1239,24,1239,24
347208,625509082488,1704,36,1704,36
340574,625132833600,2640,54,2640,54
331957,623453768312,4239,92,4239,92
335156,623734582112,4813,102,4813,102
334444,626859781956,7554,150,7554,150
335674,626856899646,13799,268,13799,268
340579,626880789168,22685,446,22685,446
327807,625273018448,39768,780,39768,780
348647,628454695018,84848,1640,84848,1640
336943,623548720768,190962,3780,190962,3780
340096,625618732736,483254,9988,483254,9988
331534,625184464680,1215945,28096,1215945,28096
346593,625771510600,3343304,87516,3343304,87516
333464,626809877952,10730668,300724,10730668,300724
342939,627577599282,38884980,1147836,38884980,1147836
345793,630364050400,155107987,4940448,155107987,4940448
328903,655064198931,704400401,26063372,704400401,26063372
388148,699832037223,4225088092,239841624,4227563297,239999684
19244313,7093613627,1106842301338,166283738046,1106842301338,166283738046
216872,38859735757,28064395290,3926527016,28064395290,3926527016
