(1,667336)
(2,391899)
(3,291761)
(4,248352)
(5,222545)
(6,203458)
(7,187077)
(8,170815)
(9,154813)
(10,140628)
(11,126755)
(12,112591)
(13,99408)
(14,87078)
(15,76576)
(16,66643)
(17,58650)
(18,51624)
(19,44806)
(20,39442)
(21,34890)
(22,30423)
(23,26466)
(24,23385)
(25,20520)
(26,18372)
(27,16168)
(28,14364)
(29,12899)
(30,11473)
(31,10347)
(32,9320)
(33,8338)
(34,7452)
(35,6793)
(36,6169)
(37,5571)
(38,4836)
(39,4493)
(40,4068)
(41,3743)
(42,3450)
(43,3159)
(44,2903)
(45,2706)
(46,2356)
(47,2301)
(48,2042)
(49,2019)
(50,1830)
(51,1591)
(52,1612)
(53,1407)
(54,1360)
(55,1208)
(56,1165)
(57,1040)
(58,1074)
(59,912)
(60,879)
(61,869)
(62,808)
(63,759)
(64,639)
(65,630)
(66,572)
(67,603)
(68,516)
(69,511)
(70,518)
(71,460)
(72,426)
(73,424)
(74,380)
(75,333)
(76,359)
(77,324)
(78,320)
(79,303)
(80,275)
(81,291)
(82,248)
(83,258)
(84,252)
(85,193)
(86,211)
(87,219)
(88,169)
(89,178)
(90,158)
(91,184)
(92,180)
(93,149)
(94,156)
(95,143)
(96,156)
(97,139)
(98,124)
(99,130)
(100,112)
(101,105)
(102,121)
(103,124)
(104,99)
(105,87)
(106,113)
(107,102)
(108,84)
(109,80)
(110,84)
(111,83)
(112,81)
(113,74)
(114,73)
(115,70)
(116,55)
(117,51)
(118,68)
(119,66)
(120,62)
(121,54)
(122,57)
(123,60)
(124,48)
(125,53)
(126,52)
(127,43)
(128,38)
(129,33)
(130,42)
(131,39)
(132,29)
(133,29)
(134,47)
(135,29)
(136,23)
(137,27)
(138,30)
(139,33)
(140,21)
(141,31)
(142,20)
(143,37)
(144,30)
(145,31)
(146,26)
(147,18)
(148,20)
(149,19)
(150,19)
(151,16)
(152,24)
(153,20)
(154,18)
(155,16)
(156,12)
(157,27)
(158,14)
(159,21)
(160,14)
(161,18)
(162,22)
(163,18)
(164,20)
(165,12)
(166,16)
(167,13)
(168,11)
(169,6)
(170,16)
(171,9)
(172,12)
(173,15)
(174,19)
(175,8)
(176,9)
(177,10)
(178,18)
(179,11)
(180,14)
(181,7)
(182,8)
(183,9)
(184,11)
(185,8)
(186,3)
(187,7)
(188,5)
(189,8)
(190,7)
(191,13)
(192,5)
(193,3)
(194,10)
(195,8)
(196,5)
(197,10)
(198,4)
(199,4)
(200,5)
(201,7)
(202,7)
(203,6)
(204,5)
(205,5)
(206,4)
(207,4)
(208,7)
(209,5)
(210,5)
(211,7)
(212,4)
(213,6)
(214,3)
(215,5)
(216,6)
(217,5)
(218,7)
(219,9)
(220,2)
(221,6)
(222,5)
(223,6)
(224,5)
(226,6)
(227,2)
(228,6)
(229,6)
(230,2)
(231,2)
(232,3)
(233,4)
(234,2)
(235,2)
(236,3)
(237,5)
(238,2)
(239,6)
(240,3)
(241,8)
(242,5)
(243,4)
(244,3)
(245,5)
(246,5)
(247,2)
(248,1)
(249,2)
(250,2)
(251,5)
(252,2)
(253,3)
(254,3)
(255,2)
(256,2)
(257,3)
(258,1)
(259,2)
(260,1)
(261,1)
(262,3)
(264,1)
(265,3)
(266,3)
(267,2)
(268,7)
(269,4)
(270,3)
(271,1)
(275,1)
(276,3)
(278,2)
(280,1)
(281,2)
(282,3)
(283,2)
(284,2)
(286,2)
(287,1)
(288,3)
(289,2)
(290,1)
(292,1)
(293,1)
(296,2)
(299,1)
(300,2)
(303,1)
(304,1)
(305,1)
(306,1)
(307,1)
(308,2)
(312,1)
(313,1)
(314,1)
(316,1)
(318,1)
(321,1)
(324,1)
(325,2)
(326,2)
(333,1)
(337,2)
(339,1)
(340,1)
(341,2)
(342,2)
(343,2)
(344,1)
(348,2)
(352,1)
(353,2)
(354,1)
(355,1)
(356,1)
(357,1)
(362,1)
(366,2)
(373,1)
(375,1)
(376,1)
(381,1)
(382,1)
(384,1)
(386,1)
(400,1)
(402,1)
(403,1)
(404,1)
(405,2)
(406,2)
(407,2)
(409,1)
(414,2)
(416,1)
(419,1)
(420,1)
(430,1)
(445,2)
(446,1)
(450,1)
(451,1)
(453,2)
(466,1)
(469,1)
(519,1)
(584,1)
(595,1)
(596,2)
(597,2)
(605,1)
(606,1)
(611,1)
(612,1)
(619,1)
(621,1)
(623,2)
(624,1)
(626,2)
(631,1)
(635,1)
(660,1)
(661,1)
(692,1)
(725,1)
(738,1)
(745,1)
(770,1)
(793,1)
