53,5420120,0,0,0,0
243,5436674,0,0,0,0
223,5460176,5514,158,5514,158
281,5452738,22191,636,22191,636
321,5455922,10916,318,10916,318
283,5474316,10909,312,10909,312
252,5488302,40028,1245,40028,1245
325,5488106,35179,1090,35179,1090
262,5518680,32668,929,32668,929
360,5545224,55419,1689,55419,1689
345,5543040,94047,2798,94047,2798
321,5567438,53944,1536,53944,1536
408,5609444,70978,2167,70978,2167
552,5681004,143135,3894,143135,3894
2671,5664156,211136,5790,211136,5790
464,5673866,94592,2485,94592,2485
7243,5694874,76939,2030,76939,2030
4323,5704876,69026,1838,69026,1838
9975,5763380,81384,2143,81384,2143
4205,6392284,113495,3231,113495,3231
1002,7572789,940072,41074,940072,41074
1108,9264608,1441227,101303,1441227,101303
1325,14470909,1847973,154003,1847973,154003
1956,45240530,3575778,372280,3575778,372280
4513,1538649296,46839655,2016562,46839655,2016562
29168,502012649,499567165,69362378,499567165,69362378
