276,5436308656,0,0,0,0
1824,5426740904,114,2,114,2
1859,5422640568,228,4,228,4
1838,5400953440,185,4,185,4
1801,5417816136,570,10,570,10
1847,5396628440,1577,30,1577,30
2085,5425698584,3878,78,3878,78
1798,5414765112,8773,176,8773,176
1868,5406550984,15282,302,15282,302
1866,5390340456,36082,732,36082,732
2023,5423325848,88123,1822,88123,1822
1903,5409581544,191455,4322,191455,4322
1892,5412049376,438850,11074,438850,11074
1970,5452813272,1098637,29986,1098637,29986
2157,5414728432,3023138,86748,3023138,86748
2548,5458285952,9556142,290398,9556142,290398
3436,5495914440,36509399,1277124,36509399,1277124
5056,4507039925,173304995,9340950,173304995,9340950
47897,210901220,5706303826,856253958,5706303826,856253958
1363,487599104,3791236,155958,916080,20531
24695,596704024,384283624,5397126,360351119,3238099
43291,1081646618,859263456,136950782,859263456,136950782
