54,11111576,0,0,0,0
191,11137956,0,0,0,0
240,11158906,16012,475,16012,475
342,11172672,26543,784,26543,784
306,11192752,43337,1244,43337,1244
254,11216344,71258,2039,71258,2039
320,11235878,60785,1726,60785,1726
433,11260396,67681,2034,67681,2034
363,11292048,92530,2631,92530,2631
356,11320796,101326,3027,101326,3027
279,11398170,151405,4557,151405,4557
486,11441468,181754,5609,181754,5609
331,11636374,248721,6652,248721,6652
617,11839241,339614,11290,339614,11290
647,12860958,513531,18382,513531,18382
940,13755149,1205657,72479,1205657,72479
769,15861487,1531719,112098,1531719,112098
1028,18803556,2120825,185834,2120825,185834
957,28039983,2951407,293151,2951407,293151
2293,61323774,5842006,654673,5842006,654673
5598,1762873960,73962918,2957242,73962918,2957242
47590,1081646618,857332350,136950782,857332350,136950782
